EDH,TM_ID,EDCS
"031261","205694","24800728"
"040946","206619","13003513"
"041013","206686","09801410"
"004303","198852","09200546"
"059297","202621","06000364"
"041185","206808","09801521"
"000379","198750","15600892"
"041500","207057","09801756"
"022272","205297","15300545"
"008160","199022","02000005"
"041471","207032","09801730"
"010054","204784","09700393"
"041042","206715","09801436"
"000480","204689","08600661"
"041035","206708","09801429"
"000762","204693","08901193"
"040227","206203","66200099"
"021909","200044","06000319"
"033466","205845","24700789"
"040768","206472","09801230"
"041214","206832","09801542"
"040207","206189","09800960"
"019347","205139","13700361"
"004474","198864","09200553"
"031195","205673","59600005, 66300007, 20100185"
"033499","205855","20800618"
"059550","202872","06000690"
"041568","207106","09801801"
"030973","200978","25001466"
"040921","206594","09801331"
"067617","367565","49100328, 67200622"
"040502","206337","09801103"
"059277","202602","06000341"
"040942","206615","13003510"
"000973","204699","16400629"
"024240","200363","08600919"
"041745","207209","09801882"
"031474","205762","43700621"
"002509","198807","08400552"
"040846","206535","09801283"
"040132","206143","09800917"
"041399","206961","09801661"
"040232","206208","09800978"
"000400","198757","08500633"
"030778","200936","06000539"
"031327","205716","23701942"
"030856","200957","15600922"
"041567","207105","09801800"
"059214","202540","06000250"
"033475","205848","20300045"
"040610","206375","09801138"
"040253","206227","09800995"
"040819","206508","09801260"
"010042","203159","13500345"
"022110","200109","24501950"
"041511","207065","09801762"
"045322","201181","30100120"
"051091","201819","17700850"
"041754","207217","09801890"
"031540","205786","25900492"
"041342","206918","09801624"
"031450","205755","23100068"
"039650","205895","13003442"
"031306","205709","46800212, 46800213"
"041445","207007","09801705"
"040360","206292","09801058"
"004408","198861","09200571"
"041433","206995","09801695"
"040292","206237","09801004"
"002534","204711","08300577"
"059695","203015","06000855"
"041548","207101","09801796"
"040222","206200","09800971"
"039822","205965","09800764"
"041290","206878","09801586"
"003647","198832","07000898"
"040113","206128","09800904"
"000382","198751","08500627"
"031534","205782","23100050"
"059601","341947","06000758"
"031465","205759","20300067"
"031396","205739","59600011"
"030970","200977","13002080"
"041010","206683","09801407"
"041100","206760","09801476"
"040118","206132","09800907"
"040334","206273","09801039"
"041413","206975","09801676"
"041440","207002","09801700"
"040338","206276","09801042"
"019671","199724","06000246"
"041299","206886","09801594"
"040642","206399","09801162"
"039825","205968","13003455"
"059285","202609","06000351"
"053988","207298","04901063"
"041609","207139","09801833"
"031204","205676","20600061"
"040663","206416","13003487"
"039835","205976","09800773"
"040111","206127","09800903"
"059508","202831","14200140"
"000414","198765","08601312"
"059459","202782","06000598, 06000599, 06000600"
"002451","204708","24500320"
"033472","205847","24700796"
"040499","206334","09801100"
"040833","206522","09801272"
"059317","202641","06000388"
"018017","205018","13800139"
"031210","205678","20300115"
"033328","205829","13002031"
"039908","206017","09800813"
"040699","206452","09801211"
"041758","207221","09801894"
"059569","202891","24100023"
"050655","207282","25600185"
"041149","206777","09801492"
"039827","205969","09800767"
"031429","205749","23100048, 23100049"
"039726","205912","09800719"
"040343","206280","09801047"
"041654","207160","09801850"
"000436","198777","08500643"
"002297","204701","20800624, 21100309"
"040055","206089","09800876"
"025362","200459","26500696"
"041040","206713","09801434"
"015364","204951","23600479"
"031516","205776","20300078"
"009635","199062","13000625"
"031240","205687","20300116"
"019766","201002","13003659"
"033451","205840","20300131"
"031561","205796","23700920"
"039863","205993","09800791"
"041348","206921","09801626"
"041022","206695","09801418"
"000403","198758","08500634"
"040960","206633","13003516"
"031351","205724","20800604"
"041279","206871","09801579"
"041194","206817","09801529"
"041488","207047","09801745"
"040376","206306","09801072"
"033460","205843","20300133"
"039949","206045","13003462"
"041082","206744","09801462"
"041543","207096","09801792"
"059484","202807","06000631"
"009997","199066","48200101"
"041099","206759","09801475"
"041653","207159","09801849"
"040630","206395","09801158"
"030787","200939","06000353"
"040201","206183","09800954"
"002976","204723","24500303"
"040761","206466","09801224"
"011488","199088","25501448"
"040072","206101","13003468"
"039711","205901","13003446"
"004336","198856","09200560"
"040612","206377","09801140"
"041128","206762","09801478"
"030790","200940","13000963"
"031285","205702","20300124"
"039865","205994","09800792"
"041324","206905","09801611"
"031162","205669","25900026"
"030748","200931","04000324"
"004247","198847","13100006"
"033520","205861","20100218"
"059298","202622","06000365"
"031339","205720","24700812"
"030913","200967","17900348"
"040924","206597","09801334"
"033526","201116","14200126"
"059249","202575","06000289"
"010024","199075","09700378"
"040283","206231","09800998"
"000603","204692","08600660"
"033481","205850","66300011"
"040105","206123","13002197"
"041195","206818","09801530"
"031258","205693","20800611"
"039815","205959","09800758"
"002973","204722","08300581"
"051565","167825","00380575"
"041386","206950","13003546"
"002988","198813","08300556"
"040698","206451","09801210"
"002997","198816","08300559"
"041393","206956","09801656"
"031468","205760","13002100"
"059582","202904","06000719"
"059299","202623","06000366"
"040495","206331","09801097"
"041587","207123","09801818"
"031381","205734","58400051"
"039911","206019","09800815"
"030784","200938","14900052"
"041431","206993","09801693"
"008985","199048","25001637"
"031420","205747","20800610"
"030919","200968","06000511"
"055632","202327","05000810"
"041079","206742","09801459"
"040774","206476","09801234"
"041198","206821","09801532"
"021838","200032","06000899"
"033564","201118","24100003"
"030003","200886","13002015"
"041157","206783","09801498"
"033547","205868","20800598"
"059280","202604","06000346"
"002427","204706","20100163"
"059562","202884","06000702"
"041481","207041","09801739"
"040933","206606","13003509"
"010066","204788","09700396"
"031510","205774","20600034"
"026694","200597","04000907"
"031543","205788","66300014"
"041132","206766","09801482"
"030943","200972","25001083"
"059098","202424","06000118"
"002766","198810","24100102"
"041381","206945","09801646"
"031626","201038","24100029"
"039851","205982","09800779"
"030832","200950","14200148"
"041453","207015","09801713"
"041491","207050","09801748"
"059329","202653","06000414"
"041417","206979","09801680"
"031522","205778","04901081"
"040827","206516","09801267"
"031228","205684","47600548"
"040679","206432","09801192"
"002537","204712","24500271"
"040013","206058","09800848"
"031270","205697","24800693"
"031291","205704","20600064"
"041695","207186","09801871"
"031459","205758","20300128"
"059573","202895","06000709"
"059537","202860","06000677"
"030901","200965","13001088"
"041412","206974","09801675"
"041261","206862","09801571"
"041688","207183","13003437"
"051374","201931","08000809"
"040900","206573","13302573"
"059597","202919","06000729"
"031528","205780","20100192"
"040805","206494","13003492"
"016506","204967","24400857"
"033502","205856","20800617"
"000433","198776","08500642"
"040917","206590","09801327"
"041170","206794","09801508"
"040913","206586","09801323"
"040868","206557","09801301"
"040080","206109","13003472"
"004232","198842","12800689"
"039804","205953","13003454"
"010000","199067","09700369"
"059478","202801","06000625"
"040919","206592","09801329"
"041155","206782","09801497"
"033490","205852","20600070"
"040304","206247","09801014"
"041709","207195","13003431"
"041646","207152","09801844"
"040491","206327","09801093"
"041706","207192","13002175"
"000376","198749","24501023"
"018197","199557","06000297"
"040295","206240","09801007"
"031336","205719","23100420"
"007402","199011","13302834"
"040850","206539","09801286"
"031234","205685","20600088"
"040955","206628","09801358"
"040889","206562","09801306"
"040685","206438","09801198"
"040626","206391","09801154"
"059213","202539","06000249"
"030967","200976","22000676"
"041542","207095","09801791"
"003052","198829","13000656"
"040863","206552","09801297"
"031051","200992","25300419"
"033580","205879","23100061"
"041604","207136","09801830"
"000424","198772","08500641"
"021952","200062","06000404"
"040279","206229","13002198"
"041482","207042","09801740"
"040211","206192","09800963"
"041085","206746","09801464"
"021232","199955","06000913"
"039857","205988","09800786"
"021546","199995","49100337"
"040050","206085","13003464"
"040388","206315","09801081"
"039912","206020","09800816"
"031114","201001","25700391"
"031330","205717","08100132"
"016144","204965","23600606"
"040043","206080","09800869"
"059812","203131","14200002"
"040347","206284","09801051"
"001471","204700","08600659"
"030754","200933","18300156"
"031414","205745","59600016"
"040984","206657","09801383"
"041009","206682","09801406"
"041603","207135","09801829"
"004229","202291","12800688"
"040023","206067","09800856"
"040307","206250","09801017"
"067598","367429","49100330"
"040608","206373","09801136"
"031417","205746","20600032"
"001192","198787","08601258"
"040674","206427","09801188"
"033550","205869","20800599"
"041591","207125","09801820"
"031216","205680","44000907"
"004168","198835","08900650"
"040225","206201","09800972"
"059141","202467","06000175"
"000864","204698","20800609"
"041420","206982","09801683"
"007026","198961","08300553"
"040205","206187","09800958"
"000409","198762","08500637"
"040309","206252","09801019"
"059236","202562","06000274"
"041353","206924","13003541"
"059131","202457","06000165"
"039930","206033","09800825"
"031411","205744","59600015"
"041171","206795","13003531"
"030859","200958","17701040"
"041522","207076","09801773"
"039754","205931","09800735"
"041649","207155","09801846"
"031456","205757","52200580"
"040204","206186","09800957"
"041180","206803","09801516"
"040077","206106","13003471"
"010063","204787","09700395"
"039833","205974","09800771"
"017915","205006","13002507"
"040580","206353","09801116"
"040216","206195","09800966"
"040314","206257","09801023"
"033448","205839","20300109"
"040915","206588","09801325"
"040992","206665","09801390"
"059263","202589","39000026"
"040504","206339","09801105"
"041429","206991","09801692"
"040493","206329","09801095"
"004687","198866","25401749"
"059368","202692","06000462"
"040303","206246","09801013"
"030925","200969","18300018"
"023994","200352","25600720"
"059400","202724","06000500"
"031309","205710","20600103"
"040052","206086","09800874"
"040745","206458","09801217"
"041635","207148","09801841"
"039817","205961","09800760"
"041165","206789","09801503"
"040123","206136","09800911"
"040892","206565","09801307"
"031126","201003","13000618"
"041516","207070","09801767"
"041264","206865","09801574"
