place_name,province,longitude,latitude,inscription_count,Pleiades_ID
"'Aqirah, Wadi al / El-Aghira",Africa proconsularis,12.816667,31.466667,1,
'Ayn Tubbi / Caf Tobbi,Africa proconsularis,13.0347222,32.1763889,1,
? / Musunii Regiani,Africa proconsularis,8.817943,35.02849,1,
? / Thugga,Africa proconsularis,9.2166414,36.4792418,1,
Abbeda,Africa proconsularis,,,2,
"Abd el-Mthir, Hr. / Abd Em Mthir / Sidi Mtir",Africa proconsularis,,,3,
"Abd el-Semed, Hr. / Abd es-Semed, Hr.",Africa proconsularis,,,2,
Abdallah Ben Amor,Africa proconsularis,,,1,
Abid,Africa proconsularis,9.367222,35.393889,1,
"Abid, Jebel / Gebel Abid / Habid, Hr.",Africa proconsularis,10.3603,36.2314,2,
Abu Kammash / Bu Chemmasc / Chemmakh / Chemech,Africa proconsularis,11.7363481,33.073808,4,
Abu Nujaym / Chol / Bu Njem / Bou-Ngem / Gholaia / Golas,Africa proconsularis,15.395789,30.581648,240,
"Ad Duwayrat / El-Duwayrat / Douirat, Hr. / Durat, Hr. / Ain Dourat / Uccula",Africa proconsularis,9.524142,36.767496,17,
"Afria, Hr. / Thugga",Africa proconsularis,9.2182835,36.4320389,6,
Afset el-Hassan,Africa proconsularis,,,3,
Agareb / Mechta el-Agareb,Africa proconsularis,10.5274227,34.7421003,1,
Ahmed Ben Ramdane,Africa proconsularis,,,1,
"Aimia, Hr.",Africa proconsularis,,,1,
Ain Amara,Africa proconsularis,,,3,
"Ain Azouza / Oued Soussa, Hr. / Thugga",Africa proconsularis,9.1456102,36.4368263,2,
"Ain Babouch, Hr. / Ain Babbouch / 'Ain Babouche / Faroha, Hr. / Mizigi",Africa proconsularis,9.350631,36.439552,16,
Ain Barchuch / Ain Barchouch,Africa proconsularis,,,2,
Ain Barouri,Africa proconsularis,,,1,
"Ain Batria / Batria, Hr. / Battaria / Bija / Biia / Bibae",Africa proconsularis,10.2552778,36.2691667,17,
Ain Behama,Africa proconsularis,,,1,
"Ain Beida, Hr.",Africa proconsularis,,,1,
