place_name,province,longitude,latitude,inscription_count,Pleiades_ID
'Ain Loulou,Numidia,4.7667,35.8833,15,
"'Ain Sedjra, Hennchir",Numidia,8.3,35.4667,1,
'Ain Snob,Numidia,7.4833,36.0667,2,
'Ain el Ksar,Numidia,6.4333,36.8667,13,
Abeid,Numidia,5,36.583333,4,
"Abiad, Kef",Numidia,6.0347,35.9658,1,
Abid ben Belkassem,Numidia,,,3,
"Abtine, Djebel el / el-Abtine, Hr.",Numidia,7.5167,35.2,4,
Adjar el Hamzaoui,Numidia,,,1,
Adjedj,Numidia,,,4,
Ahmed Ben Ali,Numidia,8.8169,36.5333,1,
Ahourir / Aourir,Numidia,4.68,36.35,4,
"Aida, Bir",Numidia,6.2819444,36.0261111,4,
Ain Abd el-Rahman / Ain Abd er-Rahman / Bir Abd el-Rahman / Bir Abd er-Rahman,Numidia,8.8402778,36.0880556,1,
Ain Abid,Numidia,6.9423844,36.2135906,6,
Ain Abid Touifza,Numidia,,,1,
Ain Ben Selim,Numidia,,,11,
Ain Bou Dries,Numidia,8.4863889,35.2369444,7,
Ain Bou Sba,Numidia,,,1,
Ain Bournas,Numidia,,,1,
Ain Cherchar / Ain Charchar,Numidia,7.2197134,36.7309592,2,
Ain Chitai,Numidia,,,2,
Ain Djar Allah,Numidia,,,1,
Ain Djemaa el-Abassi,Numidia,,,4,
Ain Djemil,Numidia,,,6,
Ain Errich / El-Rich / Er-Rich / Ain Rich,Numidia,4.028678,34.5751386,4,
Ain Fakroun / Ain Fakrun / El Fakroune,Numidia,6.8708486,35.9736892,6,
Ain Feroui,Numidia,,,1,
Ain Fesguia,Numidia,,,1,
Ain Gaga,Numidia,,,4,
Ain Gassas,Numidia,,,1,
Ain Ghorab,Numidia,,,7,
Ain Ghrouss,Numidia,,,7,
Ain Gueber,Numidia,,,3,
Ain Guerfa,Numidia,6.6178,36.2139,1,
Ain Guigba,Numidia,,,1,
Ain Herbache,Numidia,,,1,
Ain Kamellel,Numidia,,,2,
Ain Kara,Numidia,,,8,
Ain Kebira,Numidia,,,1,
Ain Kercha / Ain Kerscha,Numidia,6.6905458,35.9302835,2,
Ain Kerma,Numidia,8.1994276,36.5644539,113,
Ain Kissa,Numidia,,,27,
Ain Kranf,Numidia,,,1,
Ain Ksar el-Riren,Numidia,,,3,
Ain Lasnab,Numidia,,,1,
Ain M'lila / Ain Mlila,Numidia,6.5569882,36.0189518,5,
Ain Matthieu,Numidia,,,1,
Ain Mekhelfa,Numidia,,,1,
Ain Mekrita,Numidia,,,2,
Ain Melkra,Numidia,,,2,
Ain Menchoura,Numidia,,,1,
Ain Mimoun,Numidia,7.1167,35.85,3,
Ain Mtussa,Numidia,,,4,
Ain Oum el-Achaib,Numidia,,,1,
Ain Rebouh,Numidia,,,1,
Ain Regada,Numidia,7.072702,36.2612886,7,
Ain Riahi,Numidia,,,11,
Ain Rmel,Numidia,,,1,
Ain Roumane,Numidia,,,1,
Ain Sakkar,Numidia,,,1,
Ain Schabru,Numidia,,,6,
Ain Seghira,Numidia,,,2,
Ain Serara,Numidia,,,1,
Ain Si Ounis,Numidia,,,10,
Ain Sidi Mansour,Numidia,2.7161111,36.2033333,1,
Ain Smara,Numidia,6.471658,36.2831875,14,
Ain Tazougar,Numidia,,,2,
Ain Tellijen,Numidia,,,1,
Ain Temluka / Ain Temlouka,Numidia,,,5,
Ain Tinn / Ain Tine,Numidia,6.3252658,36.3962417,8,
Ain Touila,Numidia,7.3813708,35.4359455,1,
"Ain Touta / el-Touta, Hr. / et-Touta, Hr. / MacMahon / Bernelle",Numidia,5.9198387,35.3991089,7,
Ain Trun,Numidia,,,1,
Ain Yagout,Numidia,6.429036,35.8088781,1,
Ain Zana / Ain Beda / Mergueb el-Zana / Mergueb ez-Zana / Diana Veteranorum,Numidia,6.0774643,35.7798226,102,334536
Ain Zekak,Numidia,,,1,
Ain Zerrah,Numidia,,,1,
Ain Zina / Bouzina / Bou Zina,Numidia,6.0996978,35.2698953,4,
Ain ben Salah,Numidia,,,2,
Ain ben Slima,Numidia,,,12,
Ain el Bey / Ain Four / Ain Guedjaou / Bir Baktach / Bir Herouch / Bir Khoudja / Bled el Gouhari / Guettar el-Aiech / M'zara Thior / Saddar,Numidia,8.3184257,35.4851523,189,305140
